# R	G	B
0.380392 0.207843 -0.019608
0.529412 0.474510 0.356863
0.521569 0.443137 0.341177
0.537255 0.411765 0.278431
0.513726 0.450980 0.325490
0.545098 0.498039 0.372549
0.513726 0.466667 0.341177
0.498039 0.450980 0.325490
0.545098 0.490196 0.380392
0.584314 0.529412 0.458824
0.576471 0.529412 0.458824
0.552941 0.505882 0.427451
0.435294 0.388235 0.301961
0.137255 0.043137 -0.082353
-0.082353 -0.294118 -0.490196
0.027451 -0.239216 -0.443137
-0.035294 -0.254902 -0.482353
0.427451 0.129412 -0.019608
0.082353 -0.105882 -0.309804
-0.301961 -0.301961 -0.600000
-0.411765 -0.254902 -0.623529
-0.443137 -0.262745 -0.654902
-0.521569 -0.396078 -0.733333
-0.654902 -0.607843 -0.843137
-0.113725 -0.152941 -0.294118
0.435294 0.341177 0.262745
0.607843 0.545098 0.458824
0.615686 0.552941 0.435294
0.513726 0.403922 0.254902
0.435294 0.294118 0.113726
0.278431 0.098039 -0.121569
0.105882 -0.129412 -0.396078
0.309804 0.160784 -0.019608
0.435294 0.380392 0.317647
0.435294 0.349020 0.286275
0.450980 0.325490 0.223529
0.482353 0.419608 0.294118
0.490196 0.443137 0.317647
0.450980 0.403922 0.278431
0.521569 0.474510 0.349020
0.560784 0.521569 0.403922
0.568627 0.529412 0.427451
0.537255 0.474510 0.372549
0.435294 0.333333 0.223529
0.301961 0.152941 0.043137
0.129412 -0.058824 -0.207843
0.074510 -0.192157 -0.396078
0.176471 -0.152941 -0.349020
0.082353 -0.215686 -0.419608
0.262745 0.003922 -0.152941
-0.192157 -0.286274 -0.529412
-0.411765 -0.325490 -0.654902
-0.458824 -0.254902 -0.639216
-0.466667 -0.286274 -0.662745
-0.458824 -0.333333 -0.670588
-0.639216 -0.576471 -0.827451
-0.584314 -0.576471 -0.756863
0.082353 0.043137 -0.090196
0.545098 0.466667 0.396078
0.607843 0.529412 0.458824
0.521569 0.458824 0.349020
0.466667 0.419608 0.270588
0.396078 0.333333 0.160784
0.286275 0.129412 -0.058824
0.317647 0.207843 0.082353
0.325490 0.270588 0.223529
0.309804 0.239216 0.200000
0.427451 0.317647 0.254902
0.474510 0.419608 0.301961
0.396078 0.349020 0.223529
0.427451 0.380392 0.254902
0.545098 0.490196 0.364706
0.560784 0.529412 0.396078
0.545098 0.521569 0.388235
0.443137 0.364706 0.223529
0.207843 0.019608 -0.121569
0.168628 -0.113725 -0.262745
0.270588 -0.058824 -0.223529
0.270588 -0.066667 -0.254902
0.278431 -0.090196 -0.270588
0.160784 -0.176471 -0.364706
0.003922 -0.152941 -0.349020
-0.349020 -0.349020 -0.623529
-0.443137 -0.301961 -0.647059
-0.466667 -0.270588 -0.647059
-0.466667 -0.301961 -0.670588
-0.450980 -0.317647 -0.662745
-0.466667 -0.372549 -0.662745
-0.654902 -0.600000 -0.843137
-0.396078 -0.388235 -0.584314
0.356863 0.294118 0.192157
0.545098 0.474510 0.396078
0.529412 0.482353 0.380392
0.388235 0.364706 0.247059
0.286275 0.262745 0.129412
0.286275 0.207843 0.050980
0.239216 0.168628 0.050980
0.200000 0.145098 0.066667
0.200000 0.137255 0.074510
0.262745 0.192157 0.121569
0.270588 0.223529 0.105882
0.192157 0.145098 0.019608
0.341177 0.301961 0.168628
0.545098 0.498039 0.372549
0.560784 0.521569 0.396078
0.568627 0.529412 0.411765
0.349020 0.247059 0.113726
0.003922 -0.207843 -0.356863
0.176471 -0.137255 -0.309804
0.388235 0.019608 -0.160784
0.388235 0.019608 -0.160784
0.364706 -0.003922 -0.176471
0.247059 -0.105882 -0.286274
-0.239216 -0.278431 -0.513726
-0.411765 -0.317647 -0.623529
-0.443137 -0.294118 -0.647059
-0.427451 -0.286274 -0.647059
-0.427451 -0.294118 -0.639216
-0.427451 -0.294118 -0.639216
-0.419608 -0.301961 -0.623529
-0.466667 -0.372549 -0.670588
-0.639216 -0.584314 -0.819608
0.058824 0.019608 -0.137255
0.498039 0.427451 0.301961
0.545098 0.482353 0.356863
0.333333 0.262745 0.145098
0.035294 -0.027451 -0.145098
-0.145098 -0.168627 -0.317647
-0.160784 -0.192157 -0.341176
-0.113725 -0.168627 -0.294118
-0.215686 -0.270588 -0.372549
-0.254902 -0.301961 -0.396078
-0.247059 -0.301961 -0.411765
-0.364706 -0.419608 -0.529412
-0.003922 -0.050980 -0.168627
0.474510 0.427451 0.301961
0.537255 0.490196 0.380392
0.600000 0.521569 0.474510
0.372549 0.247059 0.176471
-0.090196 -0.301961 -0.427451
0.058824 -0.231373 -0.396078
0.396078 0.050980 -0.137255
0.427451 0.074510 -0.105882
0.435294 0.105882 -0.082353
0.372549 0.066667 -0.129412
-0.380392 -0.317647 -0.607843
-0.450980 -0.309804 -0.639216
-0.458824 -0.301961 -0.654902
-0.419608 -0.286274 -0.639216
-0.403922 -0.278431 -0.623529
-0.411765 -0.286274 -0.623529
-0.403922 -0.286274 -0.607843
-0.419608 -0.301961 -0.623529
-0.639216 -0.552941 -0.843137
-0.176471 -0.200000 -0.380392
0.490196 0.427451 0.286275
0.552941 0.474510 0.341177
0.317647 0.215686 0.105882
-0.066667 -0.152941 -0.270588
-0.482353 -0.450980 -0.647059
-0.568627 -0.529412 -0.749020
-0.505882 -0.490196 -0.717647
-0.521569 -0.505882 -0.725490
-0.584314 -0.552941 -0.764706
-0.529412 -0.505882 -0.709804
-0.560784 -0.552941 -0.749020
-0.490196 -0.513726 -0.678431
0.192157 0.137255 -0.003922
0.513726 0.443137 0.349020
0.584314 0.498039 0.450980
0.560784 0.450980 0.372549
0.160784 0.003922 -0.121569
-0.050980 -0.239216 -0.403922
0.262745 0.027451 -0.176471
0.435294 0.145098 -0.066667
0.388235 0.105882 -0.113725
0.356863 0.066667 -0.137255
-0.435294 -0.294118 -0.662745
-0.458824 -0.309804 -0.678431
-0.458824 -0.294118 -0.670588
-0.443137 -0.286274 -0.654902
-0.419608 -0.301961 -0.639216
-0.435294 -0.333333 -0.662745
-0.396078 -0.301961 -0.623529
-0.396078 -0.301961 -0.623529
-0.576471 -0.498039 -0.796078
-0.286274 -0.309804 -0.466667
0.482353 0.419608 0.309804
0.521569 0.458824 0.349020
0.286275 0.215686 0.105882
0.098039 0.043137 -0.074510
-0.333333 -0.270588 -0.513726
-0.513726 -0.419608 -0.709804
-0.505882 -0.419608 -0.733333
-0.411765 -0.317647 -0.662745
-0.411765 -0.309804 -0.662745
-0.443137 -0.317647 -0.662745
-0.419608 -0.341176 -0.670588
-0.592157 -0.584314 -0.850980
-0.325490 -0.403922 -0.560784
0.192157 0.090196 0.027451
0.388235 0.333333 0.278431
0.286275 0.231373 0.168628
0.058824 -0.003922 -0.074510
-0.192157 -0.254902 -0.325490
-0.129412 -0.223529 -0.341176
0.215686 0.035294 -0.176471
0.223529 -0.011765 -0.223529
0.270588 -0.027451 -0.223529
-0.450980 -0.278431 -0.670588
-0.435294 -0.294118 -0.670588
-0.427451 -0.317647 -0.686275
-0.419608 -0.341176 -0.694118
-0.372549 -0.325490 -0.623529
-0.317647 -0.286274 -0.560784
-0.239216 -0.215686 -0.490196
-0.184314 -0.152941 -0.427451
-0.325490 -0.309804 -0.560784
-0.192157 -0.247059 -0.388235
0.490196 0.419608 0.309804
0.466667 0.396078 0.286275
0.262745 0.192157 0.074510
0.270588 0.207843 0.090196
-0.168627 -0.200000 -0.372549
-0.380392 -0.403922 -0.607843
-0.380392 -0.403922 -0.623529
-0.301961 -0.309804 -0.568627
-0.301961 -0.317647 -0.584314
-0.356863 -0.388235 -0.654902
-0.356863 -0.396078 -0.670588
-0.427451 -0.490196 -0.717647
-0.560784 -0.670588 -0.780392
-0.482353 -0.584314 -0.568627
-0.443137 -0.458824 -0.341176
-0.631373 -0.639216 -0.498039
-0.678431 -0.686275 -0.552941
-0.654902 -0.662745 -0.521569
-0.647059 -0.670588 -0.584314
-0.372549 -0.458824 -0.521569
-0.019608 -0.176471 -0.286274
0.247059 -0.003922 -0.160784
-0.450980 -0.286274 -0.647059
-0.419608 -0.317647 -0.654902
-0.341176 -0.309804 -0.623529
-0.254902 -0.254902 -0.552941
-0.168627 -0.207843 -0.443137
-0.098039 -0.152941 -0.364706
-0.082353 -0.137255 -0.349020
-0.019608 -0.074510 -0.294118
-0.105882 -0.168627 -0.364706
-0.050980 -0.129412 -0.270588
0.545098 0.450980 0.325490
0.450980 0.364706 0.231373
0.254902 0.168628 0.035294
0.192157 0.098039 -0.027451
-0.098039 -0.223529 -0.333333
-0.184314 -0.325490 -0.435294
-0.231373 -0.364706 -0.482353
-0.223529 -0.364706 -0.482353
