# R	G	B
0.270588 0.372549 0.278431
0.278431 0.380392 0.278431
0.290196 0.400000 0.282353
0.337255 0.443137 0.325490
0.360784 0.447059 0.352941
0.341176 0.403922 0.364706
0.325490 0.388235 0.356863
0.313726 0.376471 0.345098
0.023529 0.023529 0.023529
0.023529 0.023529 0.019608
0.090196 0.082353 0.070588
0.247059 0.223529 0.207843
0.278431 0.239216 0.211765
0.380392 0.321569 0.274510
0.447059 0.384314 0.329412
0.388235 0.329412 0.282353
0.427451 0.349020 0.286275
0.501961 0.411765 0.341176
0.537255 0.392157 0.298039
0.721569 0.517647 0.396078
0.737255 0.623529 0.576471
0.450980 0.411765 0.427451
0.333333 0.305882 0.309804
0.352941 0.341176 0.333333
0.333333 0.341176 0.329412
0.396078 0.419608 0.388235
0.486275 0.509804 0.486275
0.533333 0.556863 0.549020
0.545098 0.580392 0.580392
0.560784 0.596078 0.596078
0.490196 0.560784 0.549020
0.427451 0.505882 0.486275
0.380392 0.466667 0.431373
0.325490 0.419608 0.376471
0.298039 0.403922 0.345098
0.321569 0.415686 0.345098
0.325490 0.411765 0.349020
0.286275 0.380392 0.329412
0.266667 0.352941 0.294118
0.278431 0.352941 0.290196
0.039216 0.035294 0.039216
0.109804 0.098039 0.090196
0.243137 0.219608 0.200000
0.325490 0.286275 0.262745
0.498039 0.423529 0.368627
0.564706 0.470588 0.392157
0.549020 0.458824 0.380392
0.541176 0.439216 0.352941
0.454902 0.368627 0.298039
0.415686 0.341176 0.282353
0.600000 0.423529 0.309804
0.752941 0.545098 0.400000
0.713726 0.596078 0.525490
0.486275 0.454902 0.450980
0.333333 0.305882 0.305882
0.392157 0.376471 0.376471
0.364706 0.380392 0.384314
0.250980 0.290196 0.298039
0.258824 0.294118 0.290196
0.368627 0.384314 0.368627
0.490196 0.501961 0.478431
0.545098 0.564706 0.545098
0.592157 0.615686 0.603922
0.615686 0.647059 0.639216
0.615686 0.654902 0.654902
0.592157 0.643137 0.639216
0.568627 0.627451 0.615686
0.517647 0.588235 0.568627
0.447059 0.537255 0.517647
0.384314 0.482353 0.462745
0.345098 0.443137 0.423529
0.321569 0.403922 0.376471
0.141176 0.141176 0.113725
0.188235 0.172549 0.149020
0.274510 0.243137 0.219608
0.360784 0.313726 0.270588
0.576471 0.498039 0.423529
0.654902 0.556863 0.466667
0.686275 0.564706 0.462745
0.662745 0.517647 0.403922
0.607843 0.458824 0.345098
0.615686 0.447059 0.333333
0.682353 0.470588 0.341176
0.698039 0.517647 0.384314
0.643137 0.533333 0.443137
0.552941 0.494118 0.447059
0.501961 0.470588 0.447059
0.537255 0.509804 0.486275
0.556863 0.533333 0.517647
0.266667 0.298039 0.313726
0.117647 0.156863 0.180392
0.164706 0.200000 0.200000
0.290196 0.317647 0.301961
0.454902 0.450980 0.431373
0.525490 0.525490 0.498039
0.572549 0.588235 0.560784
0.639216 0.658824 0.643137
0.674510 0.701961 0.682353
0.701961 0.737255 0.717647
0.729412 0.768627 0.752941
0.725490 0.772549 0.760784
0.705882 0.752941 0.749020
0.674510 0.729412 0.733333
0.600000 0.666667 0.674510
0.250980 0.239216 0.207843
0.286275 0.262745 0.239216
0.290196 0.254902 0.235294
0.309804 0.266667 0.239216
0.458824 0.400000 0.345098
0.596078 0.505882 0.419608
0.698039 0.556863 0.447059
0.725490 0.549020 0.423529
0.741176 0.545098 0.403922
0.768627 0.564706 0.419608
0.749020 0.556863 0.423529
0.623529 0.486275 0.360784
0.529412 0.439216 0.356863
0.533333 0.466667 0.411765
0.517647 0.474510 0.427451
0.490196 0.454902 0.423529
0.439216 0.415686 0.392157
0.290196 0.329412 0.337255
0.137255 0.188235 0.203922
0.133333 0.164706 0.168627
0.196078 0.231373 0.235294
0.411765 0.403922 0.380392
0.423529 0.435294 0.380392
0.345098 0.388235 0.337255
0.454902 0.494118 0.450980
0.560784 0.588235 0.560784
0.650980 0.674510 0.654902
0.705882 0.733333 0.717647
0.749020 0.780392 0.764706
0.788235 0.827451 0.815686
0.811765 0.854902 0.839216
0.815686 0.858824 0.843137
0.262745 0.243137 0.231373
0.309804 0.282353 0.270588
0.380392 0.329412 0.294118
0.509804 0.427451 0.368627
0.639216 0.533333 0.450980
0.729412 0.588235 0.478431
0.741176 0.580392 0.462745
0.756863 0.576471 0.458824
0.792157 0.592157 0.454902
0.811765 0.615686 0.466667
0.776471 0.580392 0.431373
0.705882 0.545098 0.407843
0.556863 0.454902 0.368627
0.443137 0.380392 0.333333
0.450980 0.403922 0.364706
0.345098 0.313726 0.290196
0.301961 0.298039 0.282353
0.325490 0.376471 0.384314
0.184314 0.250980 0.270588
0.172549 0.215686 0.219608
0.196078 0.235294 0.247059
0.396078 0.384314 0.368627
0.419608 0.407843 0.349020
0.149020 0.223529 0.141176
0.203922 0.282353 0.200000
0.337255 0.392157 0.321569
0.470588 0.509804 0.458824
0.588235 0.619608 0.592157
0.686275 0.705882 0.690196
0.749020 0.776471 0.764706
0.788235 0.819608 0.807843
0.819608 0.858824 0.843137
0.250980 0.227451 0.215686
0.298039 0.266667 0.247059
0.494118 0.427451 0.376471
0.670588 0.564706 0.474510
0.741176 0.619608 0.513726
0.768627 0.619608 0.509804
0.756863 0.592157 0.482353
0.768627 0.596078 0.478431
0.831373 0.643137 0.513726
0.843137 0.654902 0.517647
0.815686 0.623529 0.478431
0.686275 0.541176 0.427451
0.470588 0.400000 0.333333
0.388235 0.345098 0.301961
0.372549 0.337255 0.305882
0.298039 0.278431 0.262745
0.333333 0.329412 0.317647
0.396078 0.431373 0.443137
0.235294 0.298039 0.317647
0.227451 0.286275 0.290196
0.258824 0.305882 0.313726
0.368627 0.372549 0.352941
0.454902 0.431373 0.376471
0.278431 0.325490 0.247059
0.247059 0.317647 0.219608
0.258824 0.333333 0.235294
0.274510 0.349020 0.266667
0.294118 0.376471 0.309804
0.419608 0.482353 0.435294
0.564706 0.611765 0.572549
0.694118 0.729412 0.701961
0.780392 0.807843 0.796078
0.290196 0.250980 0.223529
0.235294 0.200000 0.188235
0.305882 0.262745 0.235294
0.474510 0.411765 0.352941
0.580392 0.494118 0.415686
0.678431 0.552941 0.458824
0.749020 0.588235 0.478431
0.780392 0.600000 0.478431
0.866667 0.698039 0.580392
0.921569 0.811765 0.729412
0.835294 0.709804 0.600000
0.701961 0.588235 0.486275
0.396078 0.349020 0.305882
0.294118 0.270588 0.247059
0.274510 0.254902 0.235294
0.211765 0.200000 0.188235
0.305882 0.301961 0.298039
0.368627 0.407843 0.419608
0.258824 0.325490 0.341176
0.270588 0.329412 0.333333
0.317647 0.368627 0.372549
0.419608 0.439216 0.415686
0.572549 0.560784 0.498039
0.439216 0.490196 0.407843
0.345098 0.427451 0.329412
0.325490 0.380392 0.274510
0.247059 0.325490 0.207843
0.239216 0.329412 0.219608
0.250980 0.352941 0.254902
0.266667 0.372549 0.274510
0.364706 0.458824 0.364706
0.517647 0.592157 0.521569
0.274510 0.235294 0.207843
0.254902 0.219608 0.188235
0.250980 0.215686 0.184314
0.415686 0.360784 0.313726
0.682353 0.568627 0.478431
0.752941 0.600000 0.482353
0.776471 0.611765 0.482353
0.807843 0.623529 0.494118
0.870588 0.717647 0.600000
0.964706 0.913725 0.862745
0.843137 0.827451 0.796078
0.572549 0.529412 0.478431
0.376471 0.341176 0.309804
0.325490 0.301961 0.282353
0.266667 0.250980 0.227451
0.254902 0.250980 0.239216
0.388235 0.400000 0.403922
0.415686 0.462745 0.474510
0.282353 0.345098 0.360784
0.282353 0.333333 0.341176
0.333333 0.384314 0.392157
0.482353 0.509804 0.482353
0.650980 0.643137 0.572549
0.537255 0.564706 0.486275
0.427451 0.498039 0.396078
0.384314 0.439216 0.317647
0.270588 0.368627 0.227451
0.250980 0.352941 0.219608
0.278431 0.368627 0.262745
0.278431 0.376471 0.286275
0.274510 0.388235 0.278431
0.270588 0.388235 0.270588
0.294118 0.254902 0.223529
0.372549 0.321569 0.278431
0.415686 0.349020 0.298039
0.513726 0.427451 0.360784
0.729412 0.580392 0.462745
0.796078 0.623529 0.494118
0.776471 0.603922 0.474510
0.784314 0.611765 0.482353
0.839216 0.670588 0.541176
0.921569 0.800000 0.686275
0.980392 0.952941 0.913725
0.780392 0.776471 0.772549
0.529412 0.513726 0.494118
0.490196 0.482353 0.454902
0.505882 0.517647 0.490196
0.486275 0.509804 0.505882
0.454902 0.505882 0.513726
0.431373 0.474510 0.486275
0.313726 0.356863 0.376471
0.286275 0.337255 0.341176
0.325490 0.380392 0.380392
0.474510 0.490196 0.462745
0.607843 0.603922 0.541176
0.529412 0.556863 0.513726
0.427451 0.482353 0.427451
0.368627 0.443137 0.372549
0.349020 0.431373 0.364706
0.298039 0.364706 0.301961
0.282353 0.349020 0.290196
0.278431 0.341176 0.282353
0.313726 0.364706 0.298039
0.309804 0.380392 0.305882
0.372549 0.325490 0.286275
0.447059 0.388235 0.337255
0.462745 0.396078 0.337255
0.474510 0.403922 0.341176
0.611765 0.509804 0.427451
0.674510 0.556863 0.450980
0.572549 0.454902 0.360784
0.466667 0.368627 0.294118
0.545098 0.447059 0.368627
0.686275 0.580392 0.494118
0.866667 0.823529 0.780392
1.000000 1.000000 1.000000
0.827451 0.835294 0.831373
0.639216 0.650980 0.607843
0.607843 0.631373 0.600000
0.509804 0.552941 0.549020
0.443137 0.494118 0.498039
0.400000 0.450980 0.454902
0.317647 0.364706 0.380392
0.309804 0.356863 0.368627
0.309804 0.360784 0.360784
0.462745 0.470588 0.439216
0.564706 0.572549 0.517647
0.466667 0.509804 0.498039
0.450980 0.494118 0.478431
0.403922 0.450980 0.427451
0.435294 0.462745 0.447059
0.396078 0.411765 0.396078
0.298039 0.352941 0.313726
0.294118 0.349020 0.305882
0.356863 0.372549 0.352941
0.392157 0.396078 0.403922
0.439216 0.376471 0.317647
0.384314 0.329412 0.274510
0.313726 0.262745 0.215686
0.294118 0.243137 0.203922
0.345098 0.286275 0.247059
0.317647 0.254902 0.200000
0.290196 0.227451 0.184314
0.270588 0.207843 0.168627
0.294118 0.231373 0.188235
0.352941 0.282353 0.239216
0.462745 0.411765 0.372549
0.752941 0.733333 0.717647
0.874510 0.882353 0.878431
0.764706 0.772549 0.737255
0.674510 0.690196 0.654902
0.568627 0.603922 0.580392
0.521569 0.556863 0.552941
0.435294 0.478431 0.474510
0.282353 0.333333 0.345098
0.278431 0.325490 0.333333
0.313726 0.368627 0.364706
0.443137 0.466667 0.443137
0.662745 0.674510 0.639216
0.643137 0.682353 0.666667
0.498039 0.552941 0.533333
0.505882 0.549020 0.521569
0.498039 0.505882 0.462745
0.368627 0.380392 0.317647
0.254902 0.305882 0.239216
0.231373 0.305882 0.223529
0.305882 0.372549 0.294118
0.360784 0.419608 0.380392
0.490196 0.411765 0.341176
0.356863 0.298039 0.247059
0.301961 0.250980 0.207843
0.270588 0.219608 0.180392
0.250980 0.196078 0.160784
0.282353 0.227451 0.188235
0.286275 0.227451 0.192157
0.317647 0.250980 0.215686
0.341176 0.278431 0.239216
0.368627 0.301961 0.262745
0.403922 0.329412 0.278431
0.454902 0.400000 0.356863
0.725490 0.705882 0.690196
0.850980 0.858824 0.843137
0.690196 0.713726 0.678431
0.568627 0.600000 0.572549
0.533333 0.564706 0.552941
0.447059 0.478431 0.462745
0.262745 0.313726 0.321569
0.231373 0.282353 0.294118
0.286275 0.337255 0.337255
0.572549 0.615686 0.592157
0.905882 0.917647 0.894118
0.952941 0.956863 0.949020
0.721569 0.749020 0.741176
0.600000 0.643137 0.615686
0.596078 0.635294 0.584314
0.419608 0.435294 0.376471
0.294118 0.309804 0.262745
0.254902 0.333333 0.250980
0.282353 0.392157 0.278431
0.313726 0.431373 0.345098
0.400000 0.333333 0.278431
0.329412 0.274510 0.227451
0.282353 0.231373 0.196078
0.290196 0.239216 0.203922
0.321569 0.266667 0.235294
0.364706 0.313726 0.274510
0.372549 0.321569 0.286275
0.360784 0.305882 0.274510
0.368627 0.313726 0.278431
0.388235 0.337255 0.298039
0.419608 0.364706 0.325490
0.439216 0.380392 0.345098
0.556863 0.505882 0.482353
0.788235 0.788235 0.776471
0.705882 0.733333 0.701961
0.533333 0.568627 0.537255
0.505882 0.545098 0.533333
0.392157 0.435294 0.423529
0.207843 0.270588 0.274510
0.180392 0.231373 0.239216
0.258824 0.290196 0.286275
0.509804 0.537255 0.509804
0.862745 0.870588 0.839216
0.988235 0.988235 0.972549
0.811765 0.811765 0.800000
0.627451 0.643137 0.619608
0.627451 0.670588 0.631373
0.474510 0.501961 0.458824
0.301961 0.329412 0.274510
0.254902 0.349020 0.250980
0.266667 0.388235 0.270588
0.282353 0.400000 0.309804
0.231373 0.180392 0.145098
0.262745 0.211765 0.172549
0.286275 0.235294 0.196078
0.309804 0.254902 0.219608
0.360784 0.309804 0.274510
0.411765 0.364706 0.329412
0.396078 0.352941 0.321569
0.380392 0.337255 0.305882
0.392157 0.349020 0.317647
0.392157 0.349020 0.317647
0.427451 0.380392 0.349020
0.450980 0.392157 0.356863
0.490196 0.439216 0.403922
0.741176 0.745098 0.729412
0.705882 0.721569 0.701961
0.525490 0.545098 0.513726
0.486275 0.513726 0.490196
0.384314 0.411765 0.403922
0.278431 0.313726 0.305882
0.290196 0.309804 0.294118
0.313726 0.321569 0.298039
0.239216 0.243137 0.223529
0.494118 0.494118 0.474510
0.929412 0.925490 0.921569
0.878431 0.874510 0.870588
0.658824 0.662745 0.639216
0.580392 0.615686 0.588235
0.392157 0.431373 0.443137
0.294118 0.337255 0.325490
0.235294 0.313726 0.243137
0.235294 0.345098 0.231373
0.239216 0.360784 0.243137
0.239216 0.192157 0.160784
0.286275 0.235294 0.200000
0.313726 0.262745 0.227451
0.333333 0.278431 0.243137
0.392157 0.341176 0.301961
0.458824 0.411765 0.376471
0.427451 0.384314 0.349020
0.427451 0.384314 0.352941
0.419608 0.376471 0.345098
0.411765 0.364706 0.333333
0.431373 0.380392 0.349020
0.403922 0.352941 0.313726
0.431373 0.384314 0.352941
0.568627 0.560784 0.552941
0.533333 0.525490 0.513726
0.458824 0.454902 0.447059
0.443137 0.447059 0.439216
0.396078 0.392157 0.384314
0.356863 0.356863 0.341176
0.317647 0.309804 0.294118
0.298039 0.290196 0.278431
0.282353 0.282353 0.270588
0.313726 0.313726 0.305882
0.674510 0.682353 0.678431
0.705882 0.725490 0.725490
0.517647 0.549020 0.533333
0.423529 0.458824 0.447059
0.184314 0.247059 0.254902
0.211765 0.274510 0.282353
0.219608 0.298039 0.282353
0.188235 0.298039 0.243137
0.184314 0.301961 0.227451
0.254902 0.207843 0.180392
0.313726 0.266667 0.235294
0.325490 0.278431 0.243137
0.352941 0.305882 0.270588
0.388235 0.333333 0.301961
0.407843 0.356863 0.321569
0.419608 0.368627 0.333333
0.447059 0.396078 0.360784
0.443137 0.392157 0.356863
0.423529 0.368627 0.337255
0.407843 0.356863 0.325490
0.400000 0.352941 0.329412
0.400000 0.364706 0.345098
0.396078 0.376471 0.368627
0.380392 0.364706 0.352941
0.368627 0.364706 0.352941
0.341176 0.333333 0.329412
0.309804 0.301961 0.294118
0.313726 0.309804 0.301961
0.317647 0.313726 0.301961
0.317647 0.313726 0.301961
0.329412 0.321569 0.313726
0.403922 0.407843 0.403922
0.517647 0.537255 0.533333
0.345098 0.376471 0.352941
0.231373 0.274510 0.247059
0.298039 0.349020 0.345098
0.164706 0.219608 0.215686
0.125490 0.180392 0.180392
0.192157 0.262745 0.282353
0.243137 0.321569 0.337255
0.211765 0.294118 0.247059
0.313726 0.262745 0.231373
0.341176 0.290196 0.258824
0.368627 0.325490 0.298039
0.372549 0.329412 0.305882
0.380392 0.333333 0.301961
0.415686 0.364706 0.333333
0.403922 0.352941 0.321569
0.411765 0.364706 0.333333
0.415686 0.368627 0.337255
0.392157 0.345098 0.309804
0.364706 0.321569 0.294118
0.368627 0.333333 0.317647
0.364706 0.337255 0.325490
0.349020 0.337255 0.317647
0.349020 0.333333 0.317647
0.325490 0.313726 0.301961
0.313726 0.305882 0.294118
0.270588 0.262745 0.250980
0.305882 0.298039 0.286275
0.317647 0.305882 0.294118
0.290196 0.290196 0.270588
0.352941 0.364706 0.349020
0.403922 0.419608 0.403922
0.356863 0.388235 0.349020
0.286275 0.317647 0.250980
0.160784 0.203922 0.156863
0.258824 0.317647 0.301961
0.305882 0.356863 0.349020
0.215686 0.270588 0.266667
0.133333 0.192157 0.192157
0.145098 0.211765 0.223529
0.219608 0.294118 0.305882
0.384314 0.329412 0.286275
0.368627 0.325490 0.286275
0.388235 0.352941 0.325490
0.411765 0.372549 0.341176
0.411765 0.372549 0.341176
0.376471 0.333333 0.298039
0.376471 0.329412 0.301961
0.372549 0.337255 0.305882
0.372549 0.333333 0.301961
0.333333 0.290196 0.258824
0.329412 0.298039 0.270588
0.325490 0.301961 0.286275
0.325490 0.309804 0.298039
0.329412 0.317647 0.305882
0.321569 0.305882 0.294118
0.313726 0.294118 0.286275
0.298039 0.278431 0.274510
0.262745 0.247059 0.235294
0.278431 0.266667 0.247059
0.290196 0.282353 0.254902
0.282353 0.298039 0.278431
0.325490 0.372549 0.360784
0.329412 0.376471 0.364706
0.286275 0.352941 0.317647
0.317647 0.364706 0.301961
0.203922 0.235294 0.188235
0.247059 0.301961 0.274510
0.349020 0.411765 0.388235
0.313726 0.380392 0.372549
0.188235 0.247059 0.243137
0.098039 0.164706 0.156863
0.121569 0.200000 0.203922
0.403922 0.356863 0.313726
0.376471 0.341176 0.305882
0.360784 0.329412 0.301961
0.403922 0.364706 0.337255
